seed,DX,D_diff,time,error
11,0.11,10.0,0.46,0.4053837543465609
11,0.11,10.0,0.48,0.3998783140475616
11,0.11,10.0,0.5,0.40794966488233353
11,0.11,10.0,0.52,0.40674979670552547
11,0.11,10.0,0.54,0.4051982629074287
11,0.11,10.0,0.56,0.40460602335159973
11,0.11,10.0,0.58,0.39516392482718576
11,0.11,10.0,0.6,0.3905300077016593
11,0.11,10.0,0.62,0.3859402954313972
11,0.11,10.0,0.64,0.38266002145245953
11,0.11,10.0,0.66,0.3791358193984968
11,0.11,10.0,0.68,0.377548907980407
11,0.11,10.0,0.7000000000000001,0.37848252201653537
11,0.11,10.0,0.72,0.38238527518266635
11,0.11,10.0,0.74,0.382695469658222
11,0.11,15.0,0.0,0.4438168371923374
11,0.11,15.0,0.02,0.447894181729753
11,0.11,15.0,0.04,0.44515610627553737
11,0.11,15.0,0.06,0.45762753516624877
11,0.11,15.0,0.08,0.45021716147813995
11,0.11,15.0,0.1,0.44744555554187243
11,0.11,15.0,0.12,0.4294231493143941
11,0.11,15.0,0.14,0.4162985219377427
11,0.11,15.0,0.16,0.4133099460278361
11,0.11,15.0,0.18,0.40511106129274266
11,0.11,15.0,0.2,0.4041463436509295
11,0.11,15.0,0.22,0.40399367550032433
11,0.11,15.0,0.24,0.4099560417342606
11,0.11,15.0,0.26,0.41222379920683444
11,0.11,15.0,0.28,0.4181384909410404
11,0.11,15.0,0.3,0.422396134163905
11,0.11,15.0,0.32,0.4274530751710761
11,0.11,15.0,0.34,0.43199183125196394
11,0.11,15.0,0.36,0.4261557033874619
11,0.11,15.0,0.38,0.41771696682999077
11,0.11,15.0,0.4,0.4098684494075445
11,0.11,15.0,0.42,0.4003907950768809
11,0.11,15.0,0.44,0.4012781603380116
11,0.11,15.0,0.46,0.4029262705161517
11,0.11,15.0,0.48,0.40999195543656974
11,0.11,15.0,0.5,0.4109153376539879
11,0.11,15.0,0.52,0.40752552583818885
11,0.11,15.0,0.54,0.4149557597230217
11,0.11,15.0,0.56,0.41179610213476636
11,0.11,15.0,0.58,0.41299189891537297
11,0.11,15.0,0.6,0.4129865122772557
11,0.11,15.0,0.62,0.41427784274617224
11,0.11,15.0,0.64,0.4142585075598408
11,0.11,15.0,0.66,0.40624669378079753
11,0.11,15.0,0.68,0.4023828744723522
11,0.11,15.0,0.7000000000000001,0.40231207356101556
11,0.11,15.0,0.72,0.3980765402200209
11,0.11,15.0,0.74,0.3972552363705913
11,0.11,20.0,0.0,0.42716722876159907
11,0.11,20.0,0.02,0.4460919912781929
11,0.11,20.0,0.04,0.4468160940264016
11,0.11,20.0,0.06,0.43819020387638286
11,0.11,20.0,0.08,0.4304349421827575
11,0.11,20.0,0.1,0.4275924978747873
11,0.11,20.0,0.12,0.41975779281052855
11,0.11,20.0,0.14,0.4168102744430505
11,0.11,20.0,0.16,0.42702425437710356
11,0.11,20.0,0.18,0.4306830752738893
11,0.11,20.0,0.2,0.43068628952123966
11,0.11,20.0,0.22,0.4270746729293187
11,0.11,20.0,0.24,0.4307550504517493
11,0.11,20.0,0.26,0.43014605569629666
11,0.11,20.0,0.28,0.437648857113828
11,0.11,20.0,0.3,0.4441846822542982
11,0.11,20.0,0.32,0.43821097272595827
11,0.11,20.0,0.34,0.4346844270083227
11,0.11,20.0,0.36,0.42871652785246583
11,0.11,20.0,0.38,0.42701145648461153
11,0.11,20.0,0.4,0.42968767049854495
11,0.11,20.0,0.42,0.43064623838993066
11,0.11,20.0,0.44,0.43245744643270934
11,0.11,20.0,0.46,0.43097865776621347
11,0.11,20.0,0.48,0.4267588422756688
11,0.11,20.0,0.5,0.4227086173729993
11,0.11,20.0,0.52,0.4267603252426795
11,0.11,20.0,0.54,0.42374388420912734
11,0.11,20.0,0.56,0.42409396310752684
11,0.11,20.0,0.58,0.4197210064236004
11,0.11,20.0,0.6,0.4085434083090243
11,0.11,20.0,0.62,0.4052163435904812
11,0.11,20.0,0.64,0.40387541793689574
11,0.11,20.0,0.66,0.40330848948655507
11,0.11,20.0,0.68,0.3961940013733413
11,0.11,20.0,0.7000000000000001,0.3887293111550081
11,0.11,20.0,0.72,0.38618420180486507
11,0.11,20.0,0.74,0.38252825454809786
11,0.11,25.0,0.0,0.4616975457846359
11,0.11,25.0,0.02,0.4396058438584615
11,0.11,25.0,0.04,0.40452959210843553
11,0.11,25.0,0.06,0.3872845109259011
11,0.11,25.0,0.08,0.3860013646364713
11,0.11,25.0,0.1,0.40352998786407573
11,0.11,25.0,0.12,0.40203716322330735
11,0.11,25.0,0.14,0.40128422420014875
11,0.11,25.0,0.16,0.4076035564638725
11,0.11,25.0,0.18,0.40501454514331486
11,0.11,25.0,0.2,0.39674613616758436
11,0.11,25.0,0.22,0.38547956530606614
11,0.11,25.0,0.24,0.3825622322223554
11,0.11,25.0,0.26,0.37342539537099884
11,0.11,25.0,0.28,0.37539782367089225
11,0.11,25.0,0.3,0.3701886147770181
