p,D,seed,DX,D_diff,time,error
0.0,0.0,12,0.08928571428571427,20.0,0.25,0.26084969397686103
0.0,0.0,12,0.08928571428571427,20.0,0.26,0.2581437867642084
0.0,0.0,12,0.08928571428571427,20.0,0.27,0.25535781875403196
0.0,0.0,12,0.08928571428571427,20.0,0.28,0.25139634455480486
0.0,0.0,12,0.08928571428571427,20.0,0.29,0.24589063201487388
0.0,0.0,12,0.08928571428571427,20.0,0.3,0.24406569797219582
0.0,0.0,12,0.08928571428571427,20.0,0.31,0.24399948318748202
0.0,0.0,12,0.08928571428571427,20.0,0.32,0.24408239844692317
0.0,0.0,12,0.08928571428571427,20.0,0.33,0.24498334648462083
0.0,0.0,12,0.08928571428571427,20.0,0.34,0.24807104808881028
0.0,0.0,12,0.08928571428571427,20.0,0.35000000000000003,0.2500038541356097
0.0,0.0,12,0.08928571428571427,20.0,0.36,0.2477910340368935
0.0,0.0,12,0.08928571428571427,20.0,0.37,0.24498847969400114
0.0,0.0,12,0.08928571428571427,20.0,0.38,0.24257788634764252
0.0,0.0,12,0.08928571428571427,20.0,0.39,0.24029217801787828
0.0,0.0,12,0.08928571428571427,20.0,0.4,0.23994770725209405
0.0,0.0,12,0.08928571428571427,20.0,0.41000000000000003,0.23720678844169452
0.0,0.0,12,0.08928571428571427,20.0,0.42,0.23681139741526866
0.0,0.0,12,0.08928571428571427,20.0,0.43,0.23603344515213928
0.0,0.0,12,0.08928571428571427,20.0,0.44,0.23175031915529978
0.0,0.0,12,0.08928571428571427,20.0,0.45,0.23055090097031042
0.0,0.0,12,0.08928571428571427,20.0,0.46,0.2311819530400648
0.0,0.0,12,0.08928571428571427,20.0,0.47000000000000003,0.22969816579553531
0.0,0.0,12,0.08928571428571427,20.0,0.48,0.2280064105225921
0.0,0.0,12,0.08928571428571427,20.0,0.49,0.22452911007727896
0.0,0.0,12,0.08928571428571427,20.0,0.5,0.22461463461060177
0.0,0.0,12,0.08928571428571427,20.0,0.51,0.22731377772187403
0.0,0.0,12,0.08928571428571427,20.0,0.52,0.23059302279791652
0.0,0.0,12,0.08928571428571427,20.0,0.53,0.23462731129711364
0.0,0.0,12,0.08928571428571427,20.0,0.54,0.23328606262556842
0.0,0.0,12,0.08928571428571427,20.0,0.55,0.22971159340300182
0.0,0.0,12,0.08928571428571427,20.0,0.56,0.2285217880064683
0.0,0.0,12,0.08928571428571427,20.0,0.5700000000000001,0.22517294397762957
0.0,0.0,12,0.08928571428571427,20.0,0.58,0.22248334257957056
0.0,0.0,12,0.08928571428571427,20.0,0.59,0.22294865588742466
0.0,0.0,12,0.08928571428571427,20.0,0.6,0.219455956039102
0.0,0.0,12,0.08928571428571427,20.0,0.61,0.21852663693248003
0.0,0.0,12,0.08928571428571427,20.0,0.62,0.21967989444401576
0.0,0.0,12,0.08928571428571427,20.0,0.63,0.22056924437965028
0.0,0.0,12,0.08928571428571427,20.0,0.64,0.23141558717453195
0.0,0.0,12,0.08928571428571427,20.0,0.65,0.24071193727072743
0.0,0.0,12,0.08928571428571427,20.0,0.66,0.24121003877431013
0.0,0.0,12,0.08928571428571427,20.0,0.67,0.2419241870204569
0.0,0.0,12,0.08928571428571427,20.0,0.68,0.2441612916880729
0.0,0.0,12,0.08928571428571427,20.0,0.6900000000000001,0.24822452884267351
0.0,0.0,12,0.08928571428571427,20.0,0.7000000000000001,0.2455021519830082
0.0,0.0,12,0.08928571428571427,20.0,0.71,0.2426965055680825
0.0,0.0,12,0.08928571428571427,20.0,0.72,0.23895699523942185
0.0,0.0,12,0.08928571428571427,20.0,0.73,0.2396330736687282
0.0,0.0,12,0.08928571428571427,20.0,0.74,0.24234584637507578
0.0,0.0,12,0.08928571428571427,20.0,0.75,0.24537228969321426
0.0,0.0,12,0.08928571428571427,25.0,0.0,0.4277477807842095
0.0,0.0,12,0.08928571428571427,25.0,0.01,0.3981125213778581
0.0,0.0,12,0.08928571428571427,25.0,0.02,0.3737831130592875
0.0,0.0,12,0.08928571428571427,25.0,0.03,0.34707432590648496
0.0,0.0,12,0.08928571428571427,25.0,0.04,0.3338158307425309
0.0,0.0,12,0.08928571428571427,25.0,0.05,0.33606507082302445
0.0,0.0,12,0.08928571428571427,25.0,0.06,0.3229097909600811
0.0,0.0,12,0.08928571428571427,25.0,0.07,0.3250614672217954
0.0,0.0,12,0.08928571428571427,25.0,0.08,0.3240963482182037
0.0,0.0,12,0.08928571428571427,25.0,0.09,0.32664567185413773
