seed,DX,D_diff,time,error,mean
14,0.15,25.0,0.3,0.3647852904486173,0.36814527780457973
14,0.15,25.0,0.32,0.3852319958345245,0.36814527780457973
14,0.15,25.0,0.34,0.4047562118753975,0.36814527780457973
14,0.15,25.0,0.36,0.3949490199554025,0.36814527780457973
14,0.15,25.0,0.38,0.4018069775589272,0.36814527780457973
14,0.15,25.0,0.4,0.4008103351433062,0.36814527780457973
14,0.15,25.0,0.42,0.3938541074558997,0.36814527780457973
14,0.15,25.0,0.44,0.3892925755222198,0.36814527780457973
14,0.15,25.0,0.46,0.4005776100086248,0.36814527780457973
14,0.15,25.0,0.48,0.3922238374054222,0.36814527780457973
14,0.15,25.0,0.5,0.3813045878915031,0.36814527780457973
14,0.15,25.0,0.52,0.3856592306235105,0.36814527780457973
14,0.15,25.0,0.54,0.3833478099323265,0.36814527780457973
14,0.15,25.0,0.56,0.3766839059717558,0.36814527780457973
14,0.15,25.0,0.58,0.3739515339874822,0.36814527780457973
14,0.15,25.0,0.6,0.3727907162300352,0.36814527780457973
14,0.15,25.0,0.62,0.3630178546656846,0.36814527780457973
14,0.15,25.0,0.64,0.3567536046251242,0.36814527780457973
14,0.15,25.0,0.66,0.3648069650189167,0.36814527780457973
14,0.15,25.0,0.68,0.3592930454584342,0.36814527780457973
14,0.15,25.0,0.7000000000000001,0.3582772614287154,0.36814527780457973
14,0.15,25.0,0.72,0.3578820371948574,0.36814527780457973
14,0.15,25.0,0.74,0.3697089869018317,0.36814527780457973
14,0.15,30.0,0.0,0.4709824881118361,0.3770878598582045
14,0.15,30.0,0.02,0.4446623004337691,0.3770878598582045
14,0.15,30.0,0.04,0.4347503579360467,0.3770878598582045
14,0.15,30.0,0.06,0.4332688422393868,0.3770878598582045
14,0.15,30.0,0.08,0.423061707056802,0.3770878598582045
14,0.15,30.0,0.1,0.4191609591874408,0.3770878598582045
14,0.15,30.0,0.12,0.4209734393818625,0.3770878598582045
14,0.15,30.0,0.14,0.4349897423308891,0.3770878598582045
14,0.15,30.0,0.16,0.422455644470523,0.3770878598582045
14,0.15,30.0,0.18,0.4063961916312821,0.3770878598582045
14,0.15,30.0,0.2,0.3985183341268384,0.3770878598582045
14,0.15,30.0,0.22,0.3856152922300567,0.3770878598582045
14,0.15,30.0,0.24,0.3824201082279702,0.3770878598582045
14,0.15,30.0,0.26,0.382511457904319,0.3770878598582045
14,0.15,30.0,0.28,0.3798046880103285,0.3770878598582045
14,0.15,30.0,0.3,0.3740819292882987,0.3770878598582045
14,0.15,30.0,0.32,0.3642562072614272,0.3770878598582045
14,0.15,30.0,0.34,0.3748072945570395,0.3770878598582045
14,0.15,30.0,0.36,0.3676598887876882,0.3770878598582045
14,0.15,30.0,0.38,0.3648789162938763,0.3770878598582045
14,0.15,30.0,0.4,0.3754825204458957,0.3770878598582045
14,0.15,30.0,0.42,0.3806099317839179,0.3770878598582045
14,0.15,30.0,0.44,0.3754519676093294,0.3770878598582045
14,0.15,30.0,0.46,0.3726410228909449,0.3770878598582045
14,0.15,30.0,0.48,0.3673227980105031,0.3770878598582045
14,0.15,30.0,0.5,0.3591142008918819,0.3770878598582045
14,0.15,30.0,0.52,0.3713856631963381,0.3770878598582045
14,0.15,30.0,0.54,0.3779396558543718,0.3770878598582045
14,0.15,30.0,0.56,0.379970423979972,0.3770878598582045
14,0.15,30.0,0.58,0.3755452669876314,0.3770878598582045
14,0.15,30.0,0.6,0.3688511956071222,0.3770878598582045
14,0.15,30.0,0.62,0.3554620250018053,0.3770878598582045
14,0.15,30.0,0.64,0.3526515138263186,0.3770878598582045
14,0.15,30.0,0.66,0.3468640960384234,0.3770878598582045
14,0.15,30.0,0.68,0.344219737343293,0.3770878598582045
14,0.15,30.0,0.7000000000000001,0.3404702688190232,0.3770878598582045
14,0.15,30.0,0.72,0.3268855465586869,0.3770878598582045
14,0.15,30.0,0.74,0.3233887414254237,0.3770878598582045
14,0.15,40.0,0.0,0.3891338611597468,0.3803725541318274
14,0.15,40.0,0.02,0.386284117849091,0.3803725541318274
14,0.15,40.0,0.04,0.379274875937065,0.3803725541318274
14,0.15,40.0,0.06,0.3949177460729901,0.3803725541318274
14,0.15,40.0,0.08,0.3880457968729655,0.3803725541318274
14,0.15,40.0,0.1,0.4023562125942952,0.3803725541318274
14,0.15,40.0,0.12,0.4108987312877458,0.3803725541318274
14,0.15,40.0,0.14,0.4083760333841046,0.3803725541318274
14,0.15,40.0,0.16,0.4070662238145638,0.3803725541318274
14,0.15,40.0,0.18,0.3890061111119219,0.3803725541318274
14,0.15,40.0,0.2,0.3729290870019159,0.3803725541318274
14,0.15,40.0,0.22,0.3636048215554725,0.3803725541318274
14,0.15,40.0,0.24,0.3554863366501177,0.3803725541318274
14,0.15,40.0,0.26,0.3534850418071643,0.3803725541318274
14,0.15,40.0,0.28,0.3503982207369898,0.3803725541318274
14,0.15,40.0,0.3,0.3383100926847868,0.3803725541318274
14,0.15,40.0,0.32,0.3341129021038925,0.3803725541318274
14,0.15,40.0,0.34,0.3312468823162026,0.3803725541318274
14,0.15,40.0,0.36,0.3390109938984879,0.3803725541318274
14,0.15,40.0,0.38,0.3461651217719674,0.3803725541318274
14,0.15,40.0,0.4,0.3428569533746562,0.3803725541318274
14,0.15,40.0,0.42,0.3518441620972866,0.3803725541318274
14,0.15,40.0,0.44,0.3435329875044697,0.3803725541318274
14,0.15,40.0,0.46,0.343034433582031,0.3803725541318274
14,0.15,40.0,0.48,0.3554387815575366,0.3803725541318274
14,0.15,40.0,0.5,0.3584895501152454,0.3803725541318274
14,0.15,40.0,0.52,0.3610444650339365,0.3803725541318274
14,0.15,40.0,0.54,0.36519449684262,0.3803725541318274
14,0.15,40.0,0.56,0.3734226614850811,0.3803725541318274
14,0.15,40.0,0.58,0.3960363026777219,0.3803725541318274
14,0.15,40.0,0.6,0.4125382370307799,0.3803725541318274
14,0.15,40.0,0.62,0.4092311263810862,0.3803725541318274
14,0.15,40.0,0.64,0.410387893913723,0.3803725541318274
