p,D,seed,DX,D_diff,time,abs_theta
0.0,0.0,12,0.05357142857142857,40.0,0.01,0.48784708976745605
0.0,0.0,12,0.05357142857142857,40.0,0.02,0.6858092546463013
0.0,0.0,12,0.05357142857142857,40.0,0.03,0.9287297129631042
0.0,0.0,12,0.05357142857142857,40.0,0.04,0.9493953585624695
0.0,0.0,12,0.05357142857142857,40.0,0.05,0.7424936890602112
0.0,0.0,12,0.05357142857142857,40.0,0.06,0.4968322515487671
0.0,0.0,12,0.05357142857142857,40.0,0.07,0.008761581033468246
0.0,0.0,12,0.05357142857142857,40.0,0.08,0.08635590225458145
0.0,0.0,12,0.05357142857142857,40.0,0.09,0.20154128968715668
0.0,0.0,12,0.05357142857142857,40.0,0.1,0.5373852849006653
0.0,0.0,12,0.05357142857142857,40.0,0.11,0.39872702956199646
0.0,0.0,12,0.05357142857142857,40.0,0.12,0.027909860014915466
0.0,0.0,12,0.05357142857142857,40.0,0.13,0.0248281080275774
0.0,0.0,12,0.05357142857142857,40.0,0.14,0.15917769074440002
0.0,0.0,12,0.05357142857142857,40.0,0.15,0.01965993270277977
0.0,0.0,12,0.05357142857142857,40.0,0.16,0.08951320499181747
0.0,0.0,12,0.05357142857142857,40.0,0.17,0.2613639533519745
0.0,0.0,12,0.05357142857142857,40.0,0.18,0.005465274211019278
0.0,0.0,12,0.05357142857142857,40.0,0.19,0.45090073347091675
0.0,0.0,12,0.05357142857142857,40.0,0.2,0.30178362131118774
0.0,0.0,12,0.05357142857142857,40.0,0.21,0.26338574290275574
0.0,0.0,12,0.05357142857142857,40.0,0.22,0.06370587646961212
0.0,0.0,12,0.05357142857142857,40.0,0.23,0.3967548906803131
0.0,0.0,12,0.05357142857142857,40.0,0.24,0.42292875051498413
0.0,0.0,12,0.05357142857142857,40.0,0.25,0.1569700390100479
0.0,0.0,12,0.05357142857142857,40.0,0.26,0.302658349275589
0.0,0.0,12,0.05357142857142857,40.0,0.27,0.2535684108734131
0.0,0.0,12,0.05357142857142857,40.0,0.28,0.24948562681674957
0.0,0.0,12,0.05357142857142857,40.0,0.29,0.24543805420398712
0.0,0.0,12,0.05357142857142857,40.0,0.3,0.10995357483625412
0.0,0.0,12,0.05357142857142857,40.0,0.31,0.16199490427970886
0.0,0.0,12,0.05357142857142857,40.0,0.32,0.053372181951999664
0.0,0.0,12,0.05357142857142857,40.0,0.33,0.22810129821300507
0.0,0.0,12,0.05357142857142857,40.0,0.34,0.3966117799282074
0.0,0.0,12,0.05357142857142857,40.0,0.35000000000000003,0.38261014223098755
0.0,0.0,12,0.05357142857142857,40.0,0.36,0.03154647722840309
0.0,0.0,12,0.05357142857142857,40.0,0.37,0.46421536803245544
0.0,0.0,12,0.05357142857142857,40.0,0.38,0.5876962542533875
0.0,0.0,12,0.05357142857142857,40.0,0.39,0.6449060440063477
0.0,0.0,12,0.05357142857142857,40.0,0.4,0.6412089467048645
0.0,0.0,12,0.05357142857142857,40.0,0.41000000000000003,0.35267218947410583
0.0,0.0,12,0.05357142857142857,40.0,0.42,0.16836565732955933
0.0,0.0,12,0.05357142857142857,40.0,0.43,0.3417765498161316
0.0,0.0,12,0.05357142857142857,40.0,0.44,0.25597575306892395
0.0,0.0,12,0.05357142857142857,40.0,0.45,0.35573509335517883
0.0,0.0,12,0.05357142857142857,40.0,0.46,0.3132740259170532
0.0,0.0,12,0.05357142857142857,40.0,0.47000000000000003,0.3095184564590454
0.0,0.0,12,0.05357142857142857,40.0,0.48,0.2573435604572296
0.0,0.0,12,0.05357142857142857,40.0,0.49,0.18732835352420807
0.0,0.0,12,0.05357142857142857,40.0,0.5,0.24910061061382294
0.0,0.0,12,0.05357142857142857,40.0,0.51,0.07981354743242264
0.0,0.0,12,0.05357142857142857,40.0,0.52,0.14288416504859924
0.0,0.0,12,0.05357142857142857,40.0,0.53,0.24011541903018951
0.0,0.0,12,0.05357142857142857,40.0,0.54,0.13726896047592163
0.0,0.0,12,0.05357142857142857,40.0,0.55,0.09929072856903076
0.0,0.0,12,0.05357142857142857,40.0,0.56,0.015284224413335323
0.0,0.0,12,0.05357142857142857,40.0,0.5700000000000001,0.03514636307954788
0.0,0.0,12,0.05357142857142857,40.0,0.58,0.1728387027978897
0.0,0.0,12,0.05357142857142857,40.0,0.59,0.37626901268959045
0.0,0.0,12,0.05357142857142857,40.0,0.6,0.38371652364730835
0.0,0.0,12,0.05357142857142857,40.0,0.61,0.3896855413913727
0.0,0.0,12,0.05357142857142857,40.0,0.62,0.4195685386657715
0.0,0.0,12,0.05357142857142857,40.0,0.63,0.4629882872104645
0.0,0.0,12,0.05357142857142857,40.0,0.64,0.4324372410774231
0.0,0.0,12,0.05357142857142857,40.0,0.65,0.21987716853618622
0.0,0.0,12,0.05357142857142857,40.0,0.66,0.02551104500889778
0.0,0.0,12,0.05357142857142857,40.0,0.67,0.3297885060310364
0.0,0.0,12,0.05357142857142857,40.0,0.68,0.5698091983795166
0.0,0.0,12,0.05357142857142857,40.0,0.6900000000000001,0.19112072885036469
0.0,0.0,12,0.05357142857142857,40.0,0.7000000000000001,0.07435870915651321
0.0,0.0,12,0.05357142857142857,40.0,0.71,0.25230953097343445
0.0,0.0,12,0.05357142857142857,40.0,0.72,0.16324055194854736
0.0,0.0,12,0.05357142857142857,40.0,0.73,0.30607688426971436
0.0,0.0,12,0.05357142857142857,40.0,0.74,0.36084699630737305
0.0,0.0,12,0.05357142857142857,40.0,0.75,0.2957831025123596
0.0,0.0,12,0.05357142857142857,30.0,0.0,0.3657021224498749
0.0,0.0,12,0.05357142857142857,30.0,0.01,0.39131081104278564
